position,position_name,count,best_player,best_rating,overall_rank,avg_rating,season
HB,Højre back,24,Martin LARSEN,1561.5,1,1292.3833333333332,2017-2018
HF,Højre fløj,41,Jacob LASSEN,1359.1,27,1239.7560975609756,2017-2018
MV,Målvogter,24,Frank MIKKELSEN,1220.0,160,1204.2375,2017-2018
PL,Playmaker,67,Philip STENMALM,1494.4,3,1271.7044776119403,2017-2018
ST,Streg,55,Bjarte MYRHOL,1382.3,18,1256.8818181818183,2017-2018
VB,Venstre back,21,Nicolai PEDERSEN,1508.8,2,1306.4523809523812,2017-2018
VF,Venstre fløj,32,Lasse UTH,1329.5,39,1245.4250000000002,2017-2018
HB,Højre back,24,Kasper Irming ANDERSEN,1658.8,2,1394.4791666666667,2018-2019
HF,Højre fløj,35,Mark STRANDGAARD,1438.9,42,1297.3714285714286,2018-2019
MV,Målvogter,28,Frank MIKKELSEN,1310.6,115,1231.8535714285715,2018-2019
PL,Playmaker,68,Nikolaj Øris NIELSEN,1682.2,1,1369.976470588235,2018-2019
ST,Streg,52,Bjarte MYRHOL,1528.9,19,1317.6326923076924,2018-2019
VB,Venstre back,15,Aaron MENSING,1636.5,3,1317.7066666666665,2018-2019
VF,Venstre fløj,40,Lasse UTH,1476.3,34,1285.3,2018-2019
HB,Højre back,19,Runar KARASON,1589.3,1,1408.2421052631578,2019-2020
HF,Højre fløj,35,Johan HANSEN,1489.2,28,1324.8285714285714,2019-2020
MV,Målvogter,30,Björgvin Pall GUSTAVSSON,1348.7,107,1274.8166666666664,2019-2020
PL,Playmaker,61,Cornelius Kragh AASTRUP,1564.3,4,1384.4032786885246,2019-2020
ST,Streg,48,Miha ZVIZEJ,1524.6,13,1342.9208333333333,2019-2020
VB,Venstre back,17,Mattias THYNELL,1574.7,2,1353.2058823529412,2019-2020
VF,Venstre fløj,39,Emil JAKOBSEN,1473.6,35,1315.1282051282053,2019-2020
HB,Højre back,18,Runar KARASON,1638.3,4,1359.5000000000002,2020-2021
HF,Højre fløj,40,Andreas FLODMAN,1496.9,36,1300.4975,2020-2021
MV,Målvogter,32,Mikael AGGEFORS,1343.7,105,1275.309375,2020-2021
PL,Playmaker,77,Nikolaj LÆSØ,1703.8,1,1372.977922077922,2020-2021
ST,Streg,60,Jacob LASSEN,1643.5,3,1319.1566666666668,2020-2021
VB,Venstre back,11,Aaron MENSING,1677.3,2,1280.8,2020-2021
VF,Venstre fløj,40,Emil JAKOBSEN,1540.7,17,1317.3449999999998,2020-2021
HB,Højre back,27,Eivind TANGEN,1652.0,5,1335.148148148148,2021-2022
HF,Højre fløj,39,Lasse PEDERSEN,1511.3,39,1338.1230769230767,2021-2022
MV,Målvogter,39,Salah BOUTAF,1338.4,140,1268.5282051282052,2021-2022
PL,Playmaker,99,Jacob LASSEN,1727.4,1,1391.2272727272727,2021-2022
ST,Streg,68,Emil BERGHOLT,1666.5,2,1333.2720588235293,2021-2022
VB,Venstre back,10,Mishels LIABA,1402.3,93,1267.5700000000002,2021-2022
VF,Venstre fløj,50,Bjarke CHRISTENSEN,1521.7,34,1310.54,2021-2022
HB,Højre back,10,Marcus DAHLIN,1737.0,1,1354.15,2022-2023
HF,Højre fløj,40,Mathias JØRGENSEN,1564.5,21,1358.1875,2022-2023
MV,Målvogter,33,Ágúst Eli BJÖRGVINSSON,1380.6,118,1297.6060606060603,2022-2023
PL,Playmaker,101,Simon PYTLICK,1665.2,2,1402.7366336633665,2022-2023
ST,Streg,56,Niels LINDHOLT,1575.2,19,1348.6767857142856,2022-2023
VB,Venstre back,9,Rasmus PORUP,1422.3,90,1276.0555555555557,2022-2023
VF,Venstre fløj,33,Martin BISGAARD,1558.0,23,1363.3363636363636,2022-2023
HB,Højre back,13,Emil GRØNBECH,1539.7,23,1362.6461538461538,2023-2024
HF,Højre fløj,42,Carl-Emil HAUNSTRUP,1553.3,17,1314.1404761904762,2023-2024
MV,Målvogter,35,Tim WINKLER,1366.9,130,1292.682857142857,2023-2024
PL,Playmaker,99,Anders Kragh MARTINUSEN,1674.9,1,1395.9363636363635,2023-2024
ST,Streg,62,Andreas SØGAARD,1568.8,12,1353.382258064516,2023-2024
VB,Venstre back,11,Kristian STRANDEN,1460.7,59,1291.6000000000001,2023-2024
VF,Venstre fløj,37,Jeppe CIESLAK,1617.9,4,1336.145945945946,2023-2024
HB,Højre back,15,Oliver NORLYK,1538.3,12,1346.026666666667,2024-2025
HF,Højre fløj,38,Carl-Emil HAUNSTRUP,1504.4,29,1343.3815789473683,2024-2025
MV,Målvogter,34,Sebastian FRANDSEN,1382.2,120,1315.5058823529412,2024-2025
PL,Playmaker,103,Nicolaj JØRGENSEN,1693.2,1,1380.5446601941749,2024-2025
ST,Streg,68,Morten BJØRNSHAUGE,1526.8,16,1357.6132352941177,2024-2025
VB,Venstre back,5,Lucas REHFUS,1205.5,261,1202.1399999999999,2024-2025
VF,Venstre fløj,38,Martin BISGAARD,1499.6,31,1352.221052631579,2024-2025
