Nummer,Navn
1,Irma SCHJÖTT
1,Mathilde BISGAARD
2,Matilde KONDRUP NIELSEN
6,Cecilie BRANDT
7,Stine SKOGRAND
8,Jamina ROBERTS
10,Sofia STENHOLT
11,Sarah Aaberg IVERSEN
12,Filippa IDÉHN
14,Emma LINDQVIST
16,Olivia NYGAARD
17,Simone PETERSEN
18,Maria LYKKEGAARD
19,Amanda Loft HANSEN
20,Ane HØGSETH
21,Ingvild BAKKERUD
22,Lærke NOLSØE
23,Lina Thorstein LÜTZHØFT
24,Johanne Lasthein ANDERSEN
26,Anne Katrine NOWAK
27,Clara Mendgaard SØRENSEN
28,Sofie MØLLER
29,Caroline KOTTAL CLAUSEN
31,Emma JESSEN
51,Markéta JERÁBKOVÁ
77,Line Mai HOUGAARD
89,Emily Stang SANDO
