team_name,league
Aalborg Håndbold,Herreliga
Ajax København,Herreliga
Bjerringbro-Silkeborg,Herreliga
Fredericia HK,Herreliga
Fredericia Håndbold Klub,Herreliga
Fredericia Håndboldklub,Herreliga
GOG,Herreliga
Grindsted GIF,Herreliga
"Grindsted GIF, Håndbold",Herreliga
HC Midtjylland,Herreliga
HØJ Elite,Herreliga
KIF Kolding,Herreliga
Lemvig-Thyborøn Håndbold,Herreliga
Mors-Thy Håndbold,Herreliga
Nordsjælland Håndbold,Herreliga
Ribe-Esbjerg HH,Herreliga
SAH,Herreliga
SAH - Skjern Håndbold,Herreliga
SAH – Skanderborg AGF,Herreliga
SJE,Herreliga
SKH,Herreliga
Skanderborg AGF,Herreliga
Skanderborg Aarhus Håndbold,Herreliga
Skanderborg Håndbold,Herreliga
Skive fH,Herreliga
Skjern Håndbold,Herreliga
SønderjyskE,Herreliga
SønderjyskE Herrer,Herreliga
Sønderjyske Herrehåndbold,Herreliga
TMS Ringsted,Herreliga
TTH Holstebro,Herreliga
Team Sydhavsøerne,Herreliga
