match,actions,rating_start,rating_end,rating_change,player_name,season,league
TMS Ringsted vs SAH,15,1407.8009732000016,1431.1219232000014,23.32094999999981,MORTEN HEMPEL JENSEN,2023-2024,Herreliga
Mors-Thy Håndbold vs SAH,16,1505.5116110000017,1525.7901210000016,20.27850999999987,MORTEN HEMPEL JENSEN,2023-2024,Herreliga
TTH Holstebro vs SAH – Skanderborg AGF,19,1201.2376,1219.3048,18.067199999999957,MORTEN HEMPEL JENSEN,2023-2024,Herreliga
Skjern Håndbold vs SAH,21,1481.2875112000015,1497.0456300000014,15.75811879999992,MORTEN HEMPEL JENSEN,2023-2024,Herreliga
Nordsjælland Håndbold vs SAH – Skanderborg AGF,19,1255.6000908000003,1271.0235364000005,15.42344560000015,MORTEN HEMPEL JENSEN,2023-2024,Herreliga
SAH vs Fredericia Håndboldklub,17,1453.770787200002,1468.3415272000018,14.570739999999887,MORTEN HEMPEL JENSEN,2023-2024,Herreliga
SAH vs KIF Kolding,13,1240.3840708000005,1254.6445908000003,14.260519999999815,MORTEN HEMPEL JENSEN,2023-2024,Herreliga
SAH vs TMS Ringsted,19,1438.4224392000015,1452.4447872000019,14.02234800000042,MORTEN HEMPEL JENSEN,2023-2024,Herreliga
Nordsjælland Håndbold vs SAH,13,1309.664131600001,1323.3144716000013,13.65034000000037,MORTEN HEMPEL JENSEN,2023-2024,Herreliga
TTH Holstebro vs SAH,20,1338.2423096000014,1351.8781024000011,13.635792799999763,MORTEN HEMPEL JENSEN,2023-2024,Herreliga
SAH vs Bjerringbro-Silkeborg,17,1356.122974400001,1367.715339200001,11.592364799999814,MORTEN HEMPEL JENSEN,2023-2024,Herreliga
SAH vs Aalborg Håndbold,11,1270.8831844000006,1282.0147444000006,11.131560000000036,MORTEN HEMPEL JENSEN,2023-2024,Herreliga
SAH vs KIF Kolding,17,1469.5895272000018,1479.9615112000015,10.371983999999657,MORTEN HEMPEL JENSEN,2023-2024,Herreliga
Fredericia Håndboldklub vs SAH,16,1378.916239200001,1389.1596072000011,10.243368000000146,MORTEN HEMPEL JENSEN,2023-2024,Herreliga
SAH vs TTH Holstebro,14,1389.0192552000012,1398.4212832000014,9.4020280000002,MORTEN HEMPEL JENSEN,2023-2024,Herreliga
Bjerringbro-Silkeborg vs SAH,11,1368.9529392000009,1377.668239200001,8.71530000000007,MORTEN HEMPEL JENSEN,2023-2024,Herreliga
SAH vs Ribe-Esbjerg HH,15,1231.8279028000004,1240.5244228000004,8.696519999999964,MORTEN HEMPEL JENSEN,2023-2024,Herreliga
SAH vs SJE,10,1328.3295296000015,1337.0047096000014,8.675179999999955,MORTEN HEMPEL JENSEN,2023-2024,Herreliga
SAH vs Lemvig-Thyborøn Håndbold,13,1399.3767832000015,1406.5769732000017,7.200190000000248,MORTEN HEMPEL JENSEN,2023-2024,Herreliga
SAH vs Nordsjælland Håndbold,16,1219.18816,1226.2775308000007,7.089370800000779,MORTEN HEMPEL JENSEN,2023-2024,Herreliga
Ribe-Esbjerg HH vs SAH,10,1289.6457244000005,1296.6399004000007,6.994176000000152,MORTEN HEMPEL JENSEN,2023-2024,Herreliga
SønderjyskE Herrer vs SAH,14,1296.4995484000008,1303.4318116000006,6.932263199999852,MORTEN HEMPEL JENSEN,2023-2024,Herreliga
Lemvig-Thyborøn Håndbold vs SAH,8,1281.6860644000005,1288.6167244000005,6.930659999999989,MORTEN HEMPEL JENSEN,2023-2024,Herreliga
SAH vs GOG,15,1431.0490232000016,1437.1848392000015,6.135815999999977,MORTEN HEMPEL JENSEN,2023-2024,Herreliga
Skanderborg AGF vs SønderjyskE Herrer,14,1304.5838116000007,1308.9933316000008,4.409520000000157,MORTEN HEMPEL JENSEN,2023-2024,Herreliga
SAH vs Mors-Thy Håndbold,7,1227.6035308000007,1231.9373428000004,4.333811999999625,MORTEN HEMPEL JENSEN,2023-2024,Herreliga
GOG vs SAH,11,1500.5445660000019,1504.5561110000017,4.011544999999842,MORTEN HEMPEL JENSEN,2023-2024,Herreliga
SAH - Skjern Håndbold vs SKH,9,1324.3434716000013,1327.0815296000014,2.7380580000001373,MORTEN HEMPEL JENSEN,2023-2024,Herreliga
KIF Kolding vs SAH,5,1496.6506860000015,1499.2185660000018,2.5678800000002866,MORTEN HEMPEL JENSEN,2023-2024,Herreliga
Aalborg Håndbold vs SAH,6,1353.102102400001,1354.8853744000012,1.7832720000001245,MORTEN HEMPEL JENSEN,2023-2024,Herreliga
